PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    308998:   97.2432%:        308998:   97.2432%
#Load-Misses:                    8760:    2.7568%:          8760:    2.7568%
#Load-Accesses:                317758:  100.0000%:        317758:  100.0000%
#
#Store-Hits:                   133765:   98.4370%:        133765:   98.4370%
#Store-Misses:                   2124:    1.5630%:          2124:    1.5630%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442763:   97.6008%:        442763:   97.6008%
#Total-Misses:                  10884:    2.3992%:         10884:    2.3992%
#Total-Accesses:               453647:  100.0000%:        453647:  100.0000%

#Load-SttRam:                  203574:   64.0657%
#Store-Sttram:                  39845:   29.3217%
#Load-Sram:                    114184:   35.9343%
#Store-Sram:                    96044:   70.6783%


#Stack-Swap:                    14203:   85.9070%:         14203:   85.9070%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2330:   14.0930%:          2330:   14.0930%
#Total-Swap:                    16533:  100.0000%:         16533:  100.0000%

#Stack-Migration:               14532:   80.4384%:         14532:   80.4384%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3534:   19.5616%:          3534:   19.5616%
#Total-Migrate:                 18066:  100.0000%:         18066:  100.0000%

#Stack-WriteBack:                 289:   12.3346%:           289:   12.3346%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2054:   87.6654%:          2054:   87.6654%
#Total-WriteBack:                2343:  100.0000%:          2343:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
         8407332:              20:               0:               1:              19:               1
         8407333:               4:               0:               1:               3:               1
         8407335:              12:               0:               1:              11:               1
         8407336:              16:               0:               1:              15:               1
         8407337:              32:               0:               1:              31:               1
         8407338:               2:               0:               1:               1:               1
         8407343:              34:               0:               1:              33:               1
         8407344:              32:               0:               1:              31:               1
         8407345:              20:               0:               1:              19:               1
         8407346:              16:               0:               1:              15:               1
         8407348:              26:               0:               1:              25:               1
         8407350:               9:               0:               1:               8:               1
         8407351:              16:               0:               1:              15:               1
         8407352:              16:               0:               1:              15:               1
         8407353:              46:               0:               2:              44:               2
         8407354:              24:               0:               2:              22:               2
         8407355:              38:               0:               2:              36:               2
         8407356:             324:               0:               5:             319:               5
         8407357:               4:               0:               2:               2:               2
         8407358:               1:               0:               1:               0:               1
         8407359:               4:               0:               3:               1:               3
         8407360:               2:               0:               1:               1:               1
         8407361:               2:               0:               1:               1:               1
         8407362:               1:               0:               1:               0:               1
         8407363:               1:               0:               1:               0:               1
         8407364:               2:               0:               2:               0:               2
         8407366:               2:               0:               2:               0:               2
         8407367:               1:               0:               1:               0:               1
         8407368:               2:               0:               2:               0:               2
         8407371:               4:               0:               3:               1:               3
         8407372:              10:               0:               2:               8:               2
         8407373:               9:               0:               2:               7:               2
         8407374:              10:               0:               1:               9:               1
         8407375:               6:               0:               1:               5:               1
         8407376:              10:               0:               1:               9:               1
         8407377:              13:               0:               1:              12:               1
         8407378:              10:               0:               1:               9:               1
         8407379:              10:               0:               1:               9:               1
         8407380:              10:               0:               1:               9:               1
         8407381:              10:               0:               1:               9:               1
         8407382:              10:               0:               1:               9:               1
         8407383:              10:               0:               1:               9:               1
         8407384:              10:               0:               1:               9:               1
         8407385:              10:               0:               1:               9:               1
         8407386:               5:               0:               2:               3:               2
         8407387:               4:               0:               1:               3:               1
         8407388:               4:               0:               1:               3:               1
         8407389:               5:               0:               2:               3:               2
         8407390:               6:               0:               2:               4:               2
         8407391:               6:               0:               2:               4:               2
         8407392:               6:               0:               3:               3:               3
         8407393:               5:               0:               2:               3:               2
         8407394:               4:               0:               1:               3:               1
         8407395:               4:               0:               1:               3:               1
         8407396:               4:               0:               1:               3:               1
         8407397:               6:               0:               2:               4:               2
         8407398:               5:               0:               2:               3:               2
         8407399:               7:               0:               2:               5:               2
         8407400:               6:               0:               2:               4:               2
         8407401:               4:               0:               1:               3:               1
         8407402:               4:               0:               1:               3:               1
         8407403:               6:               0:               2:               4:               2
         8407404:               5:               0:               2:               3:               2
         8407405:               5:               0:               2:               3:               2
         8407406:               5:               0:               2:               3:               2
         8407407:               6:               0:               3:               3:               3
         8407408:               5:               0:               2:               3:               2
         8407409:               5:               0:               2:               3:               2
         8407410:               5:               0:               2:               3:               2
         8407411:               4:               0:               1:               3:               1
         8407412:               4:               0:               1:               3:               1
         8407413:               6:               0:               2:               4:               2
         8407414:               4:               0:               1:               3:               1
         8407415:               6:               0:               2:               4:               2
         8407416:               4:               0:               1:               3:               1
         8407417:               4:               0:               1:               3:               1
